Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
47	-2.5947068	2.0710988	1.5587496	-6.1661825	0.0	0.0	0.0	0.0	400.0	4518.0	0.02353125	-0.41124213	0.56769586	0.6617028	-2.2565045	0.2901845	1.079857	8.470828	-1.0941789	-1.6712668e-09	-0.0011743272	-4.708767e-09	-0.0015080522	0.2663965	-0.18043098	1.248339	-1.2371016	2.1200452	0.0115401745	4.0	1.8229876	0.004868553	192000	1178.3603892326355
48	-1.8666598	1.7135042	1.4538293	-4.158014	1.0	3.0	10.0	0.0	400.0	4528.0	0.02310204081632653	-0.5290824	0.50310534	1.1410002	-1.8907895	-0.034096565	0.22554788	2.9338195	-2.024431	2.4260138e-09	-0.008839002	4.738569e-09	-0.0070217154	0.3253361	-0.26243538	0.57851887	-0.39812464	2.1315854	0.010364056	19.0	1.8229675	0.012334337	196000	1203.2222719192505
49	0.3009949	2.782822	6.392531	-2.5767992	9.7	15.251557	49.0	0.0	400.0	4625.0	0.023125	-0.504122	0.39872134	0.90413696	-1.8088596	0.19880219	0.6753612	7.60493	-1.13749	1.6732148e-08	-0.0030638678	4.6610833e-08	-0.014393977	0.73688406	-0.6695198	31.191238	-16.25103	2.1419494	0.0125563145	1.0	1.8238467	0.027858878	200000	1228.1146023273468
50	-0.020449543	2.5645928	4.215327	-3.4209948	7.7	9.560857	28.0	0.0	400.0	4702.0	0.023049019607843137	0.09350691	0.6914333	2.771882	-1.3478625	1.251438	1.7927068	8.690901	-2.0244727	-4.2060847e-08	-0.00279934	-5.0544738e-08	-0.015550256	0.6219171	-0.54768896	11.565252	-8.978956	2.1545057	0.013855696	1.0	1.8238051	0.04361226	204000	1254.404373407364
51	-1.4799992	2.31164	1.5584809	-7.1755123	0.6	1.8000001	6.0	0.0	400.0	4708.0	0.022634615384615385	-0.047528077	0.4521939	1.9215307	-1.5536901	0.30777442	0.7473903	4.9642444	-1.8598077	-3.7069245e-09	-0.0055843657	4.23193e-09	-0.0051290016	0.6857506	-0.53196615	0.5531714	-0.51946515	2.1683614	0.012472868	15.0	1.8235186	0.012005079	208000	1278.6528351306915
52	2.6623073	2.7918892	6.852855	-1.0916167	6.2	10.814804	36.0	0.0	400.0	4770.0	0.0225	0.06453305	0.602084	1.9651846	-1.3118714	0.8069938	1.7180797	10.382614	-3.9648948	-2.691048e-08	-0.003000008	-4.9471854e-08	-0.017263869	0.7676769	-0.68762994	14.407418	-12.295104	2.1808343	0.013257027	1.0	1.8217752	0.045201346	212000	1301.9925329685211
53	-0.99583423	1.6006037	1.4174515	-4.0055666	1.2	3.6000001	12.0	0.0	400.0	4782.0	0.02213888888888889	0.27958125	0.53831583	2.4034925	-1.208516	0.6116458	1.5286648	15.726912	-2.9082265	-2.8734945e-08	-0.0015479765	-3.987551e-08	-0.011872399	1.000973	-0.84639907	3.4194112	-2.9561133	2.1940913	0.012161016	1.0	1.8217837	0.022742903	216000	1325.5504672527313
54	0.858451	1.4783971	3.92855	-1.3429804	6.7	9.252567	30.0	0.0	400.0	4849.0	0.02204090909090909	-0.061865047	0.6159199	2.4118025	-1.5230114	0.80415833	1.7298415	9.340025	-2.6165712	2.9170273e-09	-0.0032387113	4.887581e-09	-0.017394045	0.56784606	-0.39016	10.435734	-5.746822	2.2062523	0.013212919	1.0	1.8218303	0.048708435	220000	1349.1360456943512
55	0.7728302	2.0670729	5.6886597	-2.3077955	6.3	13.971758	45.0	0.0	400.0	4912.0	0.02192857142857143	0.14126919	0.71952844	2.2569742	-1.1833149	1.6578102	1.3978446	7.6653585	-2.3446405	-3.983159e-09	-0.0012312711	-1.6689301e-09	-0.023358634	0.48073828	-0.37378797	25.30361	-11.2069845	2.2194653	0.014048338	1.0	1.8220749	0.061299216	224000	1373.4257616996765
56	1.4025061	2.535743	5.235321	-2.3848445	16.0	27.56447	90.0	0.0	400.0	5072.0	0.022245614035087718	0.17756227	0.687088	1.930131	-1.1468455	1.5738634	1.1068319	8.111641	-2.1149793	6.6103446e-08	-0.008753802	1.000762e-07	-0.04395978	0.67080724	-0.5555478	77.744026	-70.71822	2.2335136	0.018344402	1.0	1.8224931	0.08981866	228000	1396.514656305313
57	-3.5545082	1.5704278	-0.5984409	-6.508888	5.3	15.900001	53.0	0.0	400.0	5125.0	0.02209051724137931	0.36788186	0.5455156	1.9254072	-0.84694266	2.6235614	4.453871	35.148994	-5.402013	-2.4538375e-08	-0.0006134761	-2.3841858e-08	-0.014331365	1.637584	-1.504847	13.117044	-12.730961	2.251858	0.018360376	1.0	1.8227893	0.025456836	232000	1420.507904291153
58	-5.352752	1.4967349	-3.3855221	-8.831467	1.1	2.2113345	6.0	0.0	400.0	5136.0	0.02176271186440678	-0.6527812	0.33361423	0.48682097	-2.185001	1.052388	2.638166	21.77965	-8.576008	-9.749424e-09	-0.003095772	-1.7404556e-08	-0.010939462	1.128584	-0.82204723	5.7543783	-5.67785	2.2702184	0.016745567	1.0	1.823139	0.039481636	236000	1445.3100214004517
59	-1.9678056	1.7525392	0.37343013	-4.8525696	5.8	8.109254	22.0	0.0	400.0	5194.0	0.021641666666666667	-1.4589604	0.52561843	-0.16228929	-3.1447482	0.29863873	0.80770284	8.536422	-1.9870058	2.0707546e-08	-0.0039189113	1.078844e-08	-0.004864799	0.9703148	-0.88173306	7.9221387	-4.9214373	2.286964	0.017290592	7.0	1.8232274	0.005483122	240000	1468.6511595249176
60	-1.935631	1.3148149	0.14047743	-3.949835	10.1	14.556442	50.0	0.0	400.0	5295.0	0.02170081967213115	-0.76205283	0.35887045	0.5852857	-1.6084143	1.0348467	2.360202	29.486704	-0.7527308	3.3157605e-08	-0.008010597	5.5074693e-08	-0.008740129	0.2116446	-0.14009711	20.72078	-16.775328	2.3042545	0.019001484	2.0	1.8242236	0.0051975423	244000	1492.7545900344849
61	-0.075762466	2.6521866	3.8310575	-3.3729827	1.6	4.7999997	16.0	0.0	400.0	5311.0	0.02141532258064516	-0.5843707	0.4955498	1.4223919	-1.6811042	0.7050581	2.1670702	12.110902	-3.807538	-8.689514e-09	-0.00095344736	2.861023e-09	-0.01367468	0.45717925	-0.4059053	5.0941076	-4.896845	2.323256	0.0175066	1.0	1.824861	0.035647098	248000	1516.6803555488586
62	-0.6218999	2.0521066	3.2841012	-3.2244117	5.6	7.7743163	23.0	0.0	400.0	5367.0	0.021297619047619048	-0.18437208	0.4914651	1.3923839	-1.2141898	0.384859	1.4114795	6.2753286	-8.116014	1.5655846e-08	-0.014178096	2.2649765e-08	-0.022278534	0.41936365	-0.3211087	6.9914618	-6.426377	2.3407626	0.017971277	7.0	1.8253442	0.01608292	252000	1540.7080173492432
63	-1.2188432	1.7677307	2.044822	-3.0765932	3.0	6.572671	21.0	0.0	400.0	5397.0	0.02108203125	-0.23153313	0.4204118	1.1321584	-1.8239828	0.40557104	1.3220425	13.183001	-1.1448884	5.9550556e-09	-0.0020859546	5.2452087e-09	-0.0028187179	0.16980194	-0.13867702	3.1317744	-2.904475	2.358734	0.017020226	2.0	1.8271852	0.014927802	256000	1564.2579715251923
