Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	13.210316	1.554064	18.29543	9.298949	20.1	13.391416	72.0	0.0	300.0	57663.0	0.076884	4.4922585	0.40630347	5.1845975	2.5572572	7.0314093	2.400373	23.4263	1.1946295	1.0172526e-08	-0.007471953	1.2207031e-08	0.0019233602	0.24756396	-0.01882407	18.121187	-3.3747225	0	0	2.594806	0.0	1.111093	0.009478386	750000	3545.4616980552673
25	13.155426	1.334069	16.063156	9.617874	18.32	11.700325	58.0	0.0	300.0	59495.0	0.07627564102564102	4.4605947	0.40789792	5.308734	2.63574	6.9112425	2.6322117	25.33637	0.5031073	-1.3224284e-08	-0.0073926128	0.0	0.0033343923	0.23414283	-0.026760831	16.435352	-2.7113066	0	0	2.6559453	0.0	1.050267	0.009584283	780000	3687.294959783554
26	13.089159	1.4458027	18.320627	9.278351	17.31	12.086931	46.0	0.0	300.0	61226.0	0.07558765432098766	4.4958153	0.41094986	5.199213	2.2565668	6.708376	2.6198921	23.701082	1.0839206	0.0	-0.008190905	-2.6448568e-08	-0.00043356526	0.24112633	-0.020203412	16.195871	-2.8524857	0	0	2.4939833	0.0	1.0229042	0.009765881	810000	3821.5539076328278
27	13.455609	1.529862	17.811838	10.105488	18.5	13.236691	55.0	0.0	300.0	63076.0	0.0750904761904762	4.4713426	0.38548595	5.364912	2.6875978	6.3011103	2.399107	22.536863	1.1365569	-4.0690105e-09	-0.007126717	-8.138021e-09	-0.0024529276	0.24406649	-0.021064833	17.49894	-3.568221	0	0	2.8041475	0.0	0.9960114	0.009575808	840000	3967.90500664711
28	13.53042	1.6201192	18.42993	10.85444	19.68	12.720755	50.0	0.0	300.0	65044.0	0.0747632183908046	4.5387564	0.403909	5.4847937	2.595248	6.723403	2.6273577	21.828192	0.19045886	-8.138021e-09	-0.0072648237	-1.2207031e-08	0.0029783405	0.27278012	-0.025203332	18.79041	-4.27614	0	0	2.7741635	0.0	0.95157206	0.00970184	870000	4121.268617630005
29	13.479646	1.4338773	17.060802	10.367029	17.3	12.8386135	50.0	0.0	300.0	66774.0	0.07419333333333333	4.590213	0.39646208	5.4115024	2.5375888	6.8565145	2.558569	23.33125	0.7826274	4.0690105e-09	-0.007820239	-8.138021e-09	0.0030887614	0.25095722	-0.0221304	18.432362	-4.093808	0	0	2.5443873	0.0	0.9188188	0.009726312	900000	4246.771485090256
30	14.000522	1.5220419	17.982576	10.4846945	18.76	11.935762	55.0	0.0	300.0	68650.0	0.07381720430107527	4.5932198	0.39165887	5.448471	2.6191127	6.5212684	2.809548	23.89219	0.4850177	1.1698405e-08	-0.007535909	1.4241537e-08	0.0041844845	0.27612787	-0.04169178	15.885361	-3.3669815	0	0	2.5709863	0.0	0.9005265	0.009598352	930000	4403.9175934791565
31	13.960808	1.4847484	18.150728	10.056446	20.14	13.808707	61.0	0.0	300.0	70664.0	0.07360833333333333	4.710621	0.4208067	5.508839	2.655788	6.6180663	2.3733203	21.884592	1.3161308	9.155274e-09	-0.008036114	0.0	0.002304541	0.25195217	-0.021555811	18.886747	-4.195529	0	0	2.5139315	0.0	0.85993445	0.009454834	960000	4536.322269201279
32	13.763319	1.2191526	17.158085	10.690539	18.31	13.5378685	65.0	0.0	300.0	72495.0	0.07322727272727272	4.730746	0.40819126	5.489096	2.8453643	6.889424	2.5274925	23.004938	-0.043144993	-1.0172526e-08	-0.007702803	-2.4414062e-08	-0.0017577107	0.21683031	-0.023547798	17.80653	-4.450035	0	0	2.5985103	0.0	0.8440678	0.009389722	990000	4676.2363522052765
33	13.402793	1.2866293	17.195839	9.640397	17.43	12.950873	59.0	0.0	300.0	74238.0	0.07278235294117646	4.6930337	0.39675295	5.382749	2.727836	6.560071	2.446965	21.61975	0.833888	-2.2379558e-08	-0.007628013	3.9164224e-08	0.0013635316	0.21230014	-0.034311756	16.864002	-4.715823	0	0	2.589336	0.0	0.8235527	0.0095190285	1020000	4818.618618488312
34	13.826111	1.6669766	19.243168	10.428328	19.19	12.395721	55.0	0.0	300.0	76157.0	0.07253047619047619	4.5955343	0.3879357	5.3505645	2.544145	6.627792	2.9686055	25.956514	-1.0681487	8.138021e-09	-0.008259652	-3.6875406e-08	0.0036636998	0.26218712	-0.03146355	17.822119	-5.2852936	0	0	2.3617482	0.0	0.8221275	0.009521489	1050000	4965.474540472031
35	14.042441	1.4255543	19.570309	11.36262	16.95	13.553137	84.0	0.0	300.0	77852.0	0.07208518518518518	4.653719	0.42320532	5.495378	2.4532826	6.2637887	2.5226247	20.02296	-0.4562821	1.6276042e-08	-0.0058517037	-3.051758e-08	0.002443862	0.25007018	-0.028299958	18.518896	-5.6769915	0	0	2.6940258	1.0	0.7976229	0.0063663833	1080000	5106.858875274658
36	14.059059	1.2594308	19.04035	10.648308	18.47	10.565467	40.0	0.0	300.0	79699.0	0.0718009009009009	4.736878	0.4038774	5.476759	2.8978565	6.079061	2.7682817	26.327908	-0.36483532	4.577637e-09	-0.0074258316	-1.4241537e-08	-2.2180177e-05	0.19730078	-0.015437946	14.381779	-4.409358	0	0	2.627577	0.0	0.7708277	0.0097294375	1110000	5246.758575439453
37	13.997677	1.3777803	17.607672	11.2665615	18.23	13.876493	68.0	0.0	300.0	81522.0	0.07151052631578947	4.7376413	0.40435827	5.5686536	2.7825725	6.3746114	2.333738	21.655828	0.3751732	2.0345052e-09	-0.008139135	-1.4241537e-08	0.0005841034	0.22809502	-0.023576573	19.606144	-6.46515	0	0	2.4660687	0.0	0.7543802	0.009603106	1140000	5386.505724668503
38	14.035884	1.5146176	18.317661	11.056634	17.0	11.859174	55.0	0.0	300.0	83222.0	0.07112991452991453	4.7520003	0.40531895	5.567138	2.81804	6.3012953	2.7295063	27.57663	-0.015979752	-2.0345052e-09	-0.0074778544	-2.0345052e-09	-0.0009303691	0.2689307	-0.03233415	16.625082	-5.798723	0	0	2.6476345	0.0	0.72184426	0.009635937	1170000	5525.420638561249
39	14.040465	1.4638712	17.536772	9.718206	19.46	12.714102	62.0	0.0	300.0	85168.0	0.07097333333333333	4.788129	0.43038797	5.75885	2.6749282	6.5098767	2.7462635	26.635084	-0.73964167	-1.7293294e-08	-0.0061016753	4.0690104e-08	0.0013840982	0.24854466	-0.02495341	17.645058	-6.446354	0	0	2.5846329	1.0	0.7042984	0.00643286	1200000	5666.038942337036
40	13.9007225	1.4141083	17.76366	10.710158	17.9	10.796759	44.0	0.0	300.0	86958.0	0.07069756097560975	4.787832	0.41649	5.642213	2.6771824	6.942173	2.8019998	26.775795	-0.11692982	-1.93278e-08	-0.008090294	4.0690105e-09	0.0017407755	0.21972962	-0.026968226	14.162798	-5.6203957	0	0	2.5534174	0.0	0.6862597	0.009779664	1230000	5810.897724866867
41	14.209364	1.662871	19.955288	11.211848	17.94	12.432876	52.0	0.0	300.0	88752.0	0.07043809523809524	4.7509165	0.39892218	5.628669	2.851701	6.481457	2.4670353	20.306932	-0.7308564	-8.138021e-09	-0.008453062	1.2207031e-08	0.0008177999	0.2938265	-0.03022188	17.59722	-6.73818	0	0	2.3647668	0.0	0.6988192	0.00971202	1260000	5963.142110109329
42	14.000267	1.3825166	18.544699	11.486116	17.91	12.483665	47.0	0.0	300.0	90543.0	0.07018837209302325	4.823797	0.43483713	5.7958465	2.852	6.5294437	2.6602516	22.31456	0.21853103	1.6784668e-08	-0.00780556	-4.8828124e-08	-0.0006812215	0.24839294	-0.035368994	16.66854	-6.298872	0	0	2.5793197	0.0	0.6807245	0.0097299395	1290000	6084.300108909607
43	14.049374	1.2992108	17.62233	10.758466	19.08	13.3706255	60.0	0.0	300.0	92451.0	0.07003863636363636	4.7799945	0.41145572	5.7439613	2.9804833	6.383331	2.6827226	23.89269	-0.82238096	1.5258789e-09	-0.008163342	-1.6276042e-08	0.0038520386	0.21266319	-0.024784341	18.664669	-7.4020357	0	0	2.4941022	0.0	0.667711	0.009823216	1320000	6238.046049594879
44	14.2276945	1.4961892	17.644644	11.422093	19.05	13.205586	58.0	0.0	300.0	94356.0	0.06989333333333334	4.772646	0.40309417	5.6596637	2.9668403	6.761164	3.1295094	26.266863	-0.12250452	-5.5948894e-09	-0.007461934	8.138021e-09	-0.0003434611	0.24632679	-0.02570407	19.829449	-7.088296	0	0	2.631271	0.0	0.66386425	0.009805807	1350000	6372.045533895493
45	14.263102	1.4299736	17.950167	10.353285	17.51	12.681085	59.0	0.0	300.0	96107.0	0.0696427536231884	4.8299084	0.40906718	5.7077065	3.0648267	6.8140283	3.2652373	28.41142	-1.0964608	-5.086263e-09	-0.007365855	2.2379558e-08	-0.0009854288	0.2388766	-0.02464296	17.421509	-7.5888996	0	0	2.682277	0.0	0.64160216	0.009674241	1380000	6520.377517700195
46	14.212395	1.1835837	17.091055	11.13941	19.25	13.02795	61.0	0.0	300.0	98032.0	0.06952624113475177	4.8543806	0.4074339	5.7517323	2.9698656	6.7652526	3.1071982	32.300495	-1.6731132	5.086263e-09	-0.00789728	-1.2207031e-08	0.00022871603	0.23739275	-0.03453684	18.231443	-7.9180746	0	0	2.5560174	0.0	0.6267514	0.009714663	1410000	6657.519399881363
47	13.967559	1.2646099	17.720335	11.165795	18.05	12.447791	66.0	0.0	300.0	99837.0	0.06933125	4.8388777	0.40870187	5.907612	2.8852985	6.835804	2.7803538	24.489977	-0.6461471	-2.7974447e-09	-0.007331888	5.086263e-09	0.0035715993	0.2304626	-0.03691551	17.098303	-7.6170883	0	0	2.7068927	0.0	0.620849	0.009865769	1440000	6797.551617383957
48	14.039517	1.3782179	17.777863	11.337433	16.37	10.241734	44.0	0.0	300.0	101474.0	0.06902993197278912	4.775227	0.40124348	5.5786414	2.7029724	6.593548	2.6274261	25.511698	-1.63896	2.0345052e-09	-0.0076569393	5.6966147e-08	0.002813745	0.22744232	-0.029218689	16.263733	-6.696332	0	0	2.7267065	0.0	0.5962032	0.0098736975	1470000	6941.121581315994
49	14.442577	1.3757504	17.963327	11.405902	21.15	14.008837	75.0	0.0	300.0	103589.0	0.06905933333333333	4.7757177	0.3877916	5.6351576	2.6828537	6.4994054	2.6907985	23.722794	-0.29265592	-1.3224284e-08	-0.007640605	-1.6276042e-08	-0.0007873698	0.23648949	-0.038218528	20.476599	-7.5879755	0	0	2.5995789	0.0	0.59243	0.00960622	1500000	7084.656648159027
50	14.150155	1.3702111	17.251453	10.136158	20.02	15.442137	86.0	0.0	300.0	105591.0	0.06901372549019608	4.8686905	0.42197436	5.9402723	2.8383603	6.975354	2.866208	26.017014	-2.1370249	-1.4241537e-08	-0.006658983	-2.8483074e-08	0.0017364238	0.23274358	-0.034408048	20.613659	-9.877858	0	0	3.1374621	0.0	0.59012794	0.009703407	1530000	7222.612668275833
51	14.491183	1.3184391	18.240526	11.568352	17.27	11.039796	50.0	0.0	300.0	107318.0	0.06879358974358975	4.830049	0.39862624	5.7435493	2.9595294	7.047504	3.0104177	24.258	-1.0553992	6.1035155e-09	-0.007976892	-3.2552084e-08	0.00086347654	0.23740292	-0.036975563	18.251032	-8.244311	0	0	2.4899495	0.0	0.6050714	0.009559772	1560000	7368.713738679886
52	14.283099	1.3836155	19.547865	11.863815	21.9	14.764483	66.0	0.0	300.0	109508.0	0.06887295597484276	4.8895087	0.41266686	5.861985	3.1054018	6.434498	2.92489	25.036682	-1.1484057	4.0690105e-09	-0.0075157606	8.138021e-09	0.00029959207	0.22354066	-0.037107825	24.127972	-9.940623	0	0	2.7084482	0.0	0.5919354	0.009764178	1590000	7510.144038915634
53	14.400474	1.6607171	19.050554	10.086556	19.15	13.016432	75.0	0.0	300.0	111423.0	0.06877962962962964	4.8564014	0.39916056	5.793938	2.9322398	7.3005543	3.2908204	31.636703	-1.0285722	3.0517577e-09	-0.0079198675	2.4414062e-08	-0.001385848	0.26678902	-0.04239127	21.66217	-8.698837	0	0	2.5363812	0.0	0.5899706	0.009781317	1620000	7647.405870914459
54	14.506619	1.3917189	18.194326	11.505497	19.54	12.690485	67.0	0.0	300.0	113377.0	0.06871333333333333	4.87113	0.42547494	6.0267534	2.6122777	7.191445	2.8913162	30.507708	0.197106	-4.0690105e-09	-0.0074783284	-2.8483074e-08	0.0025644286	0.26136544	-0.035981297	19.735542	-7.393942	0	0	2.702624	0.0	0.57327354	0.009731009	1650000	7798.556097507477
