Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	-1.3178718	1.9762274	8.758663	-4.4617805	2.43	4.752378	50.0	0.0	150.0	40522.0	0.05402933333333333	-0.5751194	0.6149634	1.8816066	-2.89128	0.39526603	1.0635235	11.664906	-1.6811011	-2.4414062e-08	-0.010868858	1.4241537e-08	-0.0033559713	0.36057162	-0.06604636	2.529759	-0.46627498	1.0356714	0.0	0.007553623	0.018601565	0.002866667	0.0106408	-0.0042592864	0.0058764108	0.6372398	1.0356714	1.0	0.0	0.0	1.9064863	0.008715581	750000	4434.249911785126
25	-0.4074865	2.2750893	10.863474	-3.8544948	3.435	4.6653805	26.0	0.0	150.0	41209.0	0.05283205128205128	-0.47479805	0.6461148	2.1876104	-2.7696247	0.6812516	1.4512324	15.776936	-2.5084074	-8.138021e-09	-0.004558297	1.0172526e-08	-0.008745177	0.46654075	-0.07250357	2.1342974	-0.38816714	1.9129319	0.0	0.011223574	0.008079978	0.009566667	0.012740065	-0.003412259	0.007677931	1.1785839	1.9129319	1.0	0.0	1.0	1.8819008	0.0076660737	780000	4603.6079070568085
26	-0.46559376	2.349776	11.62498	-3.5738108	3.27	4.5964227	34.0	0.0	150.0	41863.0	0.05168271604938272	-0.33474147	0.6951118	2.334674	-2.9235017	0.7333893	1.3765942	16.069134	-2.7194679	-5.086263e-09	-0.0037341297	-5.086263e-09	-0.009504526	0.5398502	-0.05739841	2.192254	-0.342741	1.6972759	0.0	0.007415889	0.0096936785	0.008466667	0.010199095	-0.004399804	0.0069553857	0.874656	1.6972759	1.0	0.0	0.0	1.8843222	0.009271214	810000	4773.984184026718
27	-0.7310188	2.0774765	6.6359825	-4.6922417	2.34	3.5446293	20.0	0.0	150.0	42331.0	0.050394047619047616	-0.31801605	0.6450847	2.4548156	-2.8049598	0.62384945	1.1274529	12.723544	-1.3906136	5.340576e-09	-0.011459535	-2.0345052e-09	-0.0028921142	0.4350416	-0.048986584	1.4313927	-0.34208262	1.2820905	0.0	0.0058207046	0.018859012	0.0022666662	0.010345619	-0.0045139045	0.0045029214	0.5555566	1.2820905	1.0	0.0	0.0	1.8666261	0.00966308	840000	4956.064277648926
28	-0.64052767	1.9575733	6.5784698	-3.7430468	2.91	3.935975	23.0	0.0	150.0	42913.0	0.04932528735632184	-0.36073765	0.62581533	2.6737726	-3.155089	0.57233775	0.9848443	13.209124	-1.5379364	-1.3224284e-08	-0.0029910533	1.1189779e-08	-0.006851233	0.33759016	-0.06535241	1.76181	-0.40385187	1.4620205	0.0	0.004419531	0.012614589	0.0060666674	0.0071591735	-0.0036949604	0.0049833995	0.59190434	1.4620205	1.0	0.0	0.0	1.8978207	0.008566101	870000	5140.483418703079
29	-0.6136721	2.0427544	7.1763363	-3.842018	2.77	4.051802	31.0	0.0	150.0	43467.0	0.04829666666666667	-0.28699014	0.66984534	2.6364372	-2.8074405	0.6543505	1.2236118	13.961938	-1.4311767	-7.1207684e-09	-0.007387024	-1.8310548e-08	-0.0056132427	0.3939297	-0.060685873	1.7012447	-0.41483557	1.2567985	0.0	0.007534967	0.015382295	0.005133333	0.00977989	-0.0035792093	0.0057065375	0.6998905	1.2567985	1.0	0.0	0.0	1.9025491	0.007722456	900000	5313.828104257584
30	-0.44676903	2.4152834	10.793416	-3.9392118	2.655	3.737108	34.0	0.0	150.0	43998.0	0.04730967741935484	-0.2431782	0.6706228	2.4304528	-3.1629117	0.6165764	1.0654272	13.839988	-2.1424723	-3.5603842e-09	-0.006288542	-1.5258789e-09	-0.0031360874	0.58288497	-0.08021551	1.7001578	-0.41563463	1.3065153	0.0	0.0073199333	0.01601215	0.0043666665	0.009590098	-0.00329465	0.004781468	0.67612773	1.3065153	1.0	0.0	1.0	1.8787953	0.0062421914	930000	5485.948153972626
31	-0.08620643	2.571658	9.688574	-3.8847682	2.94	4.3584857	31.0	0.0	150.0	44586.0	0.04644375	-0.16678841	0.6977816	2.9845104	-2.9576142	0.68021715	1.127265	14.239184	-2.3715472	-9.155274e-09	-0.0051156157	5.086263e-10	-0.003597556	0.6712792	-0.09621316	2.2521374	-0.45340014	1.3617961	0.0	0.0067642857	0.011702291	0.006266667	0.0073610884	-0.0016806332	0.004732766	0.7602834	1.3617961	1.0	0.0	1.0	1.8673773	0.009746694	960000	5665.502424955368
32	-0.033485394	3.2858903	19.412529	-4.4103417	3.025	3.7435777	24.0	0.0	150.0	45191.0	0.04564747474747475	-0.09120001	0.7864525	3.5637708	-3.104642	0.80062455	1.2560538	15.576424	-1.6085709	6.1035155e-09	-0.005591929	2.0345052e-09	-0.0067516863	1.1163911	-0.16462857	1.8110511	-0.3934741	1.2222224	0.0	0.0060208705	0.011632987	0.006833334	0.006671082	-0.001904912	0.0055807796	0.71942246	1.2222224	1.0	0.0	0.0	1.8639112	0.008878687	990000	5844.136110544205
33	0.0718046	3.0085962	16.213907	-4.8872285	2.885	4.10996	32.0	0.0	150.0	45768.0	0.04487058823529412	-0.016855543	0.8355024	4.4495916	-2.9635353	0.7644465	1.0840697	11.17894	-2.7634163	4.0690105e-09	-0.006079407	-1.0172526e-08	-0.0065836464	1.1221532	-0.17108399	2.1422646	-0.38173234	1.7368193	0.0	0.005788092	0.012323261	0.0058999998	0.009026594	-0.0038320904	0.0045344774	0.68533814	1.7368193	1.0	0.0	0.0	1.8903421	0.009374046	1020000	6024.141864061356
