Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
25	1.5440972	3.4097035	7.1664033	-2.8378947	5.5	6.8007355	18.0	0.0	400.0	2441.0	0.023471153846153846	-0.058878362	0.8671743	3.0128393	-2.2495754	0.87771195	1.1212983	7.853151	-1.7847459	1.4035688e-08	-0.016172647	2.3722649e-08	-0.021017311	1.3298359	-1.0245912	4.908245	-2.15433	1.5104566	0.013030052	0.9342587	0.0	1.8670404	0.007903519	104000	770.7434213161469
26	2.7957547	3.9676764	11.682831	-1.8439572	12.3	26.79944	92.0	0.0	400.0	2564.0	0.02374074074074074	0.76066077	0.7971781	3.6853065	-1.4655802	1.1074258	0.9673967	7.6168027	-2.4115653	-2.1901522e-08	-0.03449805	-3.361702e-08	-0.056808427	1.2164433	-0.9723475	47.282024	-37.820595	1.5234866	0.015267372	0.5188429	0.0	1.8666935	0.0073803356	108000	800.2224905490875
27	2.5949948	3.4624546	7.881852	-3.082651	7.9	8.431489	22.0	0.0	400.0	2643.0	0.023598214285714285	0.7290737	0.7026125	3.322632	-1.6458358	1.1198406	2.6028209	25.286535	-9.184632	-3.1300488e-08	-0.03630205	-5.4121017e-08	-0.06139949	1.2545393	-0.92398477	14.871174	-9.797953	1.538754	0.015944004	0.5583157	0.0	1.8641626	0.008581977	112000	828.9769818782806
28	0.7658775	2.6517663	4.146112	-3.3648665	1.8	2.8565712	9.0	0.0	400.0	2661.0	0.022939655172413795	0.5836485	0.9104832	3.6585011	-2.2894342	1.568454	1.885844	16.131443	-4.300626	3.1961996e-08	-0.018881395	4.4584276e-08	-0.02689927	1.0983418	-0.89762825	4.564499	-3.7811947	1.554698	0.014516234	0.9204681	1.0	1.8843365	0.0066036386	116000	859.3034317493439
29	2.2864735	2.573137	7.3131	-1.9180208	11.4	12.760878	41.0	0.0	400.0	2775.0	0.023125	0.30176416	0.56852746	2.8200777	-1.8558593	1.3415422	1.4292313	7.7955937	-2.615101	-1.4402227e-08	-0.028582148	-9.298325e-09	-0.045117967	1.2215896	-0.9047234	11.37425	-7.021784	1.5692142	0.016448736	0.62886816	0.0	1.8697833	0.008727057	120000	888.1779298782349
30	-0.265204	2.3683693	4.6057243	-2.8527937	2.1	2.8089142	7.0	0.0	400.0	2796.0	0.022548387096774192	0.6941043	0.8308838	3.2698178	-2.4691942	1.223593	2.194318	17.64402	-2.4841866	-1.8640904e-08	-0.023071492	-1.2278557e-08	-0.03521215	1.1178046	-0.93773687	5.3962355	-4.857974	1.585663	0.015082836	0.8249662	0.0	1.878768	0.007862721	124000	916.9761095046997
31	0.96481436	2.7964869	6.084349	-3.4362168	5.0	5.366563	15.0	0.0	400.0	2846.0	0.022234375	0.4341433	0.8166144	2.6117015	-2.4895935	0.46743348	0.62430495	7.39022	-2.2739303	5.350561e-09	-0.01978322	2.0980835e-08	-0.02474638	1.064667	-0.7695583	3.7367446	-1.5070517	1.6007458	0.014868498	0.94797677	0.0	1.870934	0.008804719	128000	947.9381766319275
32	2.0208888	3.372975	6.4362326	-3.0268328	5.8	8.182909	25.0	0.0	400.0	2904.0	0.022	0.22219947	0.8855301	2.822553	-1.7483271	1.3593398	1.3009719	5.879146	-7.361798	2.0406545e-09	-0.020588582	2.861023e-09	-0.030544475	1.0289807	-0.8235268	4.26028	-2.7447944	1.6156143	0.0149719715	0.7659758	0.0	1.8605901	0.0078263655	132000	976.7779841423035
33	1.0999594	4.285484	9.338494	-3.6387851	7.0	12.938315	45.0	0.0	400.0	2974.0	0.02186764705882353	0.25549683	0.7278226	2.3246634	-1.7938575	1.0084628	1.4234412	13.685233	-1.7460656	-1.0818523e-08	-0.020330528	5.722046e-09	-0.0325648	1.2390554	-1.0128857	9.055396	-5.6921415	1.6305863	0.015513778	0.9319356	0.0	1.841764	0.008301647	136000	1004.9078104496002
34	0.5690764	3.516405	5.5577035	-3.806048	1.2	2.0880613	7.0	0.0	400.0	2986.0	0.02132857142857143	0.57487464	0.892283	4.373383	-1.8865936	0.6520354	0.66945773	7.132603	-3.0833955	-1.1265357e-08	-0.0103807	-7.390976e-09	-0.009570774	1.0843457	-0.9985663	1.0068555	-0.76939106	1.6461	0.01387465	1.7435771	1.0	1.8531668	0.007850068	140000	1035.5682797431946
