Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
21	-1.4450842	1.5610396	7.8740416	-4.3706346	2.11	4.0936413	26.0	0.0	150.0	34460.0	0.05221212121212121	-0.32976764	0.6098478	1.4863273	-2.70627	0.25451487	1.138197	15.365202	-2.4796565	-6.1035155e-09	-0.007655717	-3.0517577e-09	-0.005964927	0.2079153	-0.028476313	1.0366	-0.23595792	1.5375304	0.0	0.011658802	0.011957192	0.007399999	0.013126641	-0.0031613095	0.006808566	0.98744375	1.5375304	1.0	0.0	1.0	1.959763	0.006275542	660000	3056.130235671997
22	-1.3273827	1.5910778	5.160201	-4.1467566	2.32	3.6190608	23.0	0.0	150.0	34924.0	0.05061449275362319	-0.3848666	0.6359929	1.8467336	-2.8972864	0.32682753	1.164597	15.481327	-3.2249367	1.0172526e-09	-0.003196816	2.2888185e-09	-0.008216017	0.17422217	-0.025371015	0.9119678	-0.21170056	1.9775543	0.0	0.007266633	0.008609042	0.0088	0.01149152	-0.0053593246	0.0067983735	0.9187328	1.9775543	1.0	0.0	0.0	1.9542874	0.007730044	690000	3191.9502794742584
23	-1.1713012	1.478192	6.7541475	-3.6689699	2.135	3.8995864	24.0	0.0	150.0	35351.0	0.049098611111111114	-0.37415913	0.6139098	1.7095966	-2.6761196	0.27081576	0.94242924	14.543987	-3.6411805	1.4241537e-08	-0.0038353682	2.0345052e-09	-0.0063309968	0.14381978	-0.025548063	1.0267367	-0.1722418	2.840039	0.0	0.008451664	0.0060327463	0.0075666667	0.010211416	-0.002685807	0.004099191	1.1836236	2.840039	1.0	0.0	0.0	1.9387336	0.0078208465	720000	3322.0424592494965
24	-1.193236	1.479058	4.96874	-3.8670764	1.98	2.785606	15.0	0.0	150.0	35747.0	0.047662666666666666	-0.3561574	0.6049276	1.7651709	-2.6905568	0.30879837	0.9828746	15.037526	-3.917439	1.0172526e-09	0.001005012	7.629395e-09	-0.0070022047	0.1318793	-0.018456124	0.64553046	-0.13611138	4.2403603	0.0	0.007886912	0.00464343	0.0065333336	0.011737824	-0.0032716703	0.002779556	1.3032689	4.2403603	1.0	0.0	0.0	1.9038758	0.008872144	750000	3457.886689901352
25	-1.2105386	1.3577992	4.1920586	-3.8602266	1.47	2.4411268	13.0	0.0	150.0	36041.0	0.04620641025641026	-0.29295808	0.5857476	1.6568533	-2.581706	0.19724	0.7806496	11.279174	-2.2351084	-1.0172526e-08	-0.009217188	2.0345052e-09	-0.0024776468	0.12120998	-0.020334736	0.35780084	-0.101738065	1.2368841	0.0	0.0071314205	0.016703492	0.0031333335	0.008030545	-0.0016363997	0.0029782355	0.65340793	1.2368841	1.0	0.0	0.0	1.8975956	0.008765122	780000	3589.6433577537537
26	-1.1150107	1.5642532	8.169343	-3.8626246	1.655	2.9556682	17.0	0.0	150.0	36372.0	0.0449037037037037	-0.3786541	0.59095544	1.0485165	-3.1811388	0.1757266	0.68568885	9.631174	-3.4042077	-1.1189779e-08	-0.007912729	-1.0172526e-09	-0.004238192	0.1662704	-0.029177234	0.57389843	-0.109419346	2.3445542	0.0	0.009338719	0.011661474	0.0043666665	0.010262826	-0.0014536731	0.0022867082	0.89488435	2.3445542	1.0	0.0	0.0	1.8824463	0.009364041	810000	3726.1933977603912
27	-0.9085669	1.8043829	9.455615	-3.1299903	1.73	2.9676762	15.0	0.0	150.0	36718.0	0.043711904761904764	-0.33106354	0.5653572	1.6314493	-2.9625907	0.2561664	0.7848562	11.609407	-2.0300372	-5.086263e-09	-0.009063747	0.0	-0.004813212	0.24564303	-0.04680556	0.5291592	-0.08527893	1.879002	0.0	0.009598075	0.011837415	0.0048666666	0.00999256	-0.0010698753	0.0029015867	0.90045834	1.879002	1.0	0.0	0.0	1.8869996	0.0085237045	840000	3852.335439682007
28	-1.0120642	1.334411	3.4648747	-3.6847687	1.84	4.1078463	37.0	0.0	150.0	37086.0	0.04262758620689655	-0.30791855	0.58643275	2.2442758	-2.492625	0.23228127	0.8356987	12.489997	-2.4549863	3.306071e-09	-0.00957808	2.0345052e-09	-0.004657749	0.11441544	-0.029803894	1.086192	-0.24075288	1.6816567	0.0	0.012802273	0.013056898	0.0056000003	0.013733115	-0.00205045	0.0045167133	0.9902014	1.6816567	1.0	0.0	1.0	1.8951969	0.0068859	870000	3989.465579032898
29	-0.83062345	1.5925282	6.758024	-3.1543715	1.565	2.5623767	16.0	0.0	150.0	37399.0	0.04155444444444444	-0.30935133	0.5632757	1.7130773	-2.4447823	0.26902875	0.9330345	16.602886	-2.880161	1.0172526e-09	-0.005593312	-1.0172526e-09	-0.0038226838	0.14765368	-0.022690855	0.56540155	-0.21332043	1.4457831	0.0	0.0056541823	0.016044214	0.003766667	0.008079575	-0.0029493882	0.0035865898	0.5936434	1.4457831	1.0	0.0	1.0	1.8731275	0.00813555	900000	4119.397270441055
30	-0.9650925	1.5268352	7.0022573	-3.2558973	1.84	3.167712	21.0	0.0	150.0	37767.0	0.04060967741935484	-0.2996812	0.57120025	1.9516544	-2.3545175	0.22753085	0.7037521	11.431729	-1.1252259	2.0345052e-09	-0.0073648943	2.2888185e-09	-0.0048555736	0.20128304	-0.03059876	0.63716036	-0.13154393	1.5951831	0.0	0.008429652	0.011249492	0.0056000003	0.0086404765	-0.00086922455	0.0035837921	0.86564213	1.5951831	1.0	0.0	0.0	1.8602772	0.008653694	930000	4246.416163682938
