Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
24	21.845703	4.5757623	34.041004	9.519897	19.085	6.762971	44.0	6.0	150.0	72675.0	0.0969	15.423623	1.0501176	16.896303	9.731724	12.458338	1.9994502	21.315672	7.2783856	2.0345052e-09	-0.007954259	-3.051758e-08	0.0004621684	3.9478865	-0.10239887	10.43747	-0.99509525	0	0	2.3972929	0.0	0.9211101	0.009651261	750000	5940.438905715942
25	23.13138	3.9821465	32.827663	5.997113	18.99	7.3246093	38.0	5.0	150.0	76473.0	0.09804230769230769	15.661933	1.0558807	17.103683	10.238807	12.50604	2.1480694	21.783646	6.91184	-1.2207031e-08	-0.0074658003	-4.0690104e-08	-0.00079431356	3.8407	-0.25140452	10.005321	-0.9886246	0	0	2.145463	1.0	0.89231944	0.006794034	780000	6186.071178197861
26	23.052496	4.34101	33.355824	11.505459	19.27	7.752232	40.0	1.0	150.0	80327.0	0.09916913580246914	16.075869	1.038391	17.60708	11.12679	12.680728	2.34711	22.178791	6.7064333	1.0172526e-08	-0.00606761	-4.0690104e-08	0.0019776856	3.618606	-0.116610765	10.437135	-1.1636543	0	0	2.5388496	1.0	0.8669024	0.006433039	810000	6422.91602396965
27	23.075922	4.1725593	33.67961	9.408002	18.585	7.051438	38.0	2.0	150.0	84044.0	0.10005238095238095	16.332111	1.0670015	17.771877	11.064494	12.486094	2.2927186	21.615442	6.6296377	-1.3224284e-08	-0.008006662	-3.2552084e-08	0.0017194174	3.5806406	-0.09986925	9.841891	-1.1020374	0	0	2.3514524	0.0	0.85349905	0.0093494905	840000	6675.95200252533
28	23.291847	4.593787	34.596092	4.620434	18.815	6.939797	41.0	0.0	150.0	87807.0	0.10092758620689656	16.380756	1.0936973	17.934443	11.55828	12.297937	2.1966352	22.774796	6.654796	-4.0690105e-09	-0.008518974	-4.679362e-08	0.001322051	4.230264	-0.20224619	9.601753	-1.2250061	0	0	2.2828279	0.0	0.8097475	0.009714372	870000	6894.611952781677
29	23.02916	4.6519914	34.75759	7.8942313	18.525	7.352508	45.0	0.0	150.0	91512.0	0.10168	16.47835	1.2139753	18.232239	6.1391344	12.371218	2.2265813	21.15117	6.293388	-2.0345052e-09	-0.008472335	-1.0172526e-08	0.0049206116	4.5172977	-0.18035412	10.346902	-1.2432146	0	0	2.247313	0.0	0.7736381	0.009939512	900000	7132.510406732559
30	23.755634	4.546217	34.541527	7.2843866	20.33	7.2056293	47.0	4.0	150.0	95578.0	0.10277204301075268	16.487862	1.1778221	18.524723	10.731632	12.405891	2.0681636	21.38619	6.755522	-8.138021e-09	-0.006206185	1.2207031e-08	0.0012882914	3.7672157	-0.24324012	10.215071	-1.4091396	0	0	2.474935	1.0	0.75576735	0.0063472046	930000	7373.804964542389
31	24.489386	4.4078536	37.356655	9.825492	19.475	7.0049534	40.0	6.0	150.0	99473.0	0.10361770833333334	16.782995	1.0488045	18.561857	11.618659	12.867685	2.2827704	21.599514	6.5470395	-1.6276042e-08	-0.00830627	-1.2207031e-08	-0.003577459	4.0338416	-0.23171186	10.653213	-1.0403023	0	0	2.415013	0.0	0.73047245	0.009835895	960000	7609.018788099289
32	24.018837	4.564055	34.247196	10.760029	18.975	7.3324194	39.0	4.0	150.0	103268.0	0.1043111111111111	17.072268	1.1531397	18.747967	12.054272	12.794402	2.1792915	21.122885	6.822093	-4.0690105e-09	-0.00808852	1.525879e-08	0.00097531127	4.03262	-0.13417244	10.109423	-1.0521765	0	0	2.3715594	0.0	0.70797884	0.009594808	990000	7865.684217214584
33	23.977575	4.765303	34.32383	8.906267	19.43	7.4266477	48.0	4.0	150.0	107154.0	0.10505294117647059	17.186085	1.1670192	18.931047	12.245482	12.752966	2.2636883	21.76347	6.7419534	5.086263e-09	-0.0058111665	-4.018148e-08	0.0030043423	4.2305365	-0.12392378	10.275148	-1.1156502	0	0	2.5481246	1.0	0.676509	0.007003111	1020000	8110.708311796188
34	24.675604	4.4440017	36.78064	11.652583	19.455	7.744545	52.0	4.0	150.0	111045.0	0.10575714285714286	17.24927	1.1975636	19.22215	11.769448	12.802635	2.312638	21.828745	4.1084175	1.2207031e-08	-0.008189501	-2.5431316e-08	0.001110736	4.19788	-0.16408014	11.472266	-1.3266315	0	0	2.434992	0.0	0.65629035	0.0099431155	1050000	8334.8620262146
35	24.457493	4.373807	35.10794	11.960569	20.05	7.667953	45.0	4.0	150.0	115055.0	0.10653240740740741	17.452993	1.1346581	19.29955	12.593823	13.030165	2.42701	23.012716	7.2065845	9.155274e-09	-0.008179227	-1.2207031e-08	0.0017243123	4.102902	-0.13157845	11.318766	-1.5009966	0	0	2.4282422	0.0	0.6354302	0.009790975	1080000	8574.549485683441
36	24.475431	4.709372	37.468117	11.993468	20.18	6.821847	41.0	3.0	150.0	119091.0	0.10728918918918919	17.3993	1.0930259	19.230644	12.435281	13.218287	2.4963913	23.693012	7.642184	8.138021e-09	-0.0066751726	1.7293294e-08	-0.003136081	3.923127	-0.15829563	9.675725	-1.1100225	0	0	2.7773356	0.0	0.6197689	0.00967582	1110000	8798.935968637466
37	24.744108	4.533372	38.339874	10.955683	19.705	6.6293273	42.0	6.0	150.0	123032.0	0.10792280701754386	17.419153	1.0936183	19.44657	12.013602	13.041877	2.3260243	21.972069	7.4728255	4.0690105e-09	-0.008370044	2.0345052e-08	-0.00015912272	4.145181	-0.18290925	8.524293	-1.1589727	0	0	2.3036625	0.0	0.602666	0.009670144	1140000	9038.035989046097
38	25.15575	4.257699	35.14049	13.6417885	20.635	8.251168	45.0	4.0	150.0	127159.0	0.10868290598290599	17.594263	1.0378094	19.340998	12.768201	13.02218	2.1857722	21.851915	7.1977496	6.612142e-09	-0.006382359	6.1035155e-09	0.0011118612	3.5936406	-0.16488552	10.697233	-1.6042385	0	0	2.4835892	1.0	0.56164587	0.0069200825	1170000	9270.676827907562
39	24.85289	4.5831847	38.180763	8.30217	19.575	7.506955	42.0	4.0	150.0	131074.0	0.10922833333333333	17.699873	1.0932988	19.620998	12.860081	13.008108	2.6448467	22.78769	7.2972827	4.0690105e-09	-0.005478752	6.1035155e-09	0.001171399	3.998542	-0.13367009	11.186021	-1.6066732	0	0	2.8679073	1.0	0.5324531	0.0064487103	1200000	9491.056066513062
40	24.491705	4.507408	35.28696	10.438661	20.01	7.6269197	45.0	4.0	150.0	135076.0	0.10981788617886179	17.729284	1.1986414	19.810747	12.580038	13.068972	2.6403234	23.56437	6.253623	-4.577637e-09	-0.0068195327	2.0345052e-09	0.00077292277	4.187047	-0.1641407	10.572225	-1.3861456	0	0	2.3010361	1.0	0.51836646	0.0064811795	1230000	9744.274463176727
41	25.084045	4.194961	35.460655	10.540376	19.995	7.386811	41.0	3.0	150.0	139075.0	0.11037698412698413	17.664112	1.1387002	19.819956	12.24737	12.826693	2.587645	23.693563	5.873681	-4.0690105e-09	-0.0061404733	-8.138021e-09	0.0018060507	3.7343342	-0.17442465	10.318351	-1.3394384	0	0	2.3337083	1.0	0.494295	0.0070554554	1260000	9984.9508395195
42	25.239439	5.042432	36.231667	12.944704	20.065	7.7369742	51.0	4.0	150.0	143088.0	0.11092093023255814	17.692839	1.1386622	19.999506	12.617197	13.007069	2.5897644	23.207678	6.624776	1.6276042e-08	-0.0065905154	2.0345052e-09	0.0010819723	4.9973645	-0.28201628	10.806279	-1.5182095	0	0	2.4452233	1.0	0.47973788	0.006457698	1290000	10239.183337688446
43	25.278902	4.578148	35.746746	11.31084	19.83	7.1931286	44.0	5.0	150.0	147054.0	0.11140454545454545	17.882551	1.1738833	20.162321	12.514742	13.020244	2.5639422	23.064169	6.249788	1.4241537e-08	-0.0067138593	-1.4241537e-08	0.0026716369	4.2452016	-0.2579348	9.5588045	-1.446662	0	0	2.4966092	1.0	0.47143233	0.0073804283	1320000	10472.053347587585
44	25.549335	4.293831	37.940662	10.960157	20.37	7.541425	52.0	4.0	150.0	151128.0	0.11194666666666667	17.950039	1.195293	20.397858	12.804282	12.698462	2.5288785	22.443937	5.7217345	8.773804e-09	-0.007835183	2.4414062e-08	0.00020502726	3.520729	-0.30956626	9.641208	-1.4664431	0	0	2.5381565	0.0	0.45214558	0.00972807	1350000	10713.639755249023
45	25.171669	4.697508	36.47893	5.4926987	19.98	7.563042	39.0	4.0	150.0	155124.0	0.11240869565217392	18.051939	1.1187503	20.628948	13.256787	12.720183	2.5932581	22.742468	5.496145	-4.0690105e-09	-0.0070533343	-9.6639e-09	-0.0019572314	4.4436283	-0.27746773	10.501624	-1.6986952	0	0	2.560539	0.0	0.44004428	0.009655326	1380000	10966.797223329544
46	25.580494	4.6300106	41.459145	13.3677225	19.995	7.507661	44.0	3.0	150.0	159123.0	0.1128531914893617	17.970722	1.2279441	20.223822	12.592771	12.76998	2.5972886	23.412012	4.564483	8.138021e-09	-0.006974068	1.0172526e-08	-0.0025916465	4.084997	-0.24867487	9.087328	-1.5005927	0	0	2.769883	0.0	0.42164266	0.00963018	1410000	11211.584986925125
47	25.741737	4.5595293	36.428432	8.368106	19.2	7.164496	46.0	2.0	150.0	162963.0	0.11316875	18.11623	1.1351498	20.52768	13.277596	12.765154	2.5937157	22.28657	6.1378	-5.086263e-09	-0.0073055797	3.6621095e-08	-0.0045196484	3.8887181	-0.25836706	10.159861	-1.6385851	0	0	2.461973	0.0	0.40270674	0.009863604	1440000	11449.434033632278
48	25.205107	4.1727624	36.743397	12.872951	19.565	7.7534366	45.0	4.0	150.0	166876.0	0.11352108843537415	18.202429	1.1117162	20.07827	12.421523	12.484542	2.4590235	22.859201	5.916912	1.6276042e-08	-0.006145097	1.2207031e-08	0.0010574015	3.7653885	-0.253402	10.846329	-1.688529	0	0	2.4844913	1.0	0.3922974	0.0066670156	1470000	11683.76920223236
49	25.832657	4.464053	36.365067	14.016477	19.605	7.15255	43.0	3.0	150.0	170797.0	0.11386466666666667	18.085712	1.059954	19.958353	12.687397	12.566917	2.5664783	23.40683	5.392709	1.4241537e-08	-0.008273798	0.0	-0.0009920573	4.4193563	-0.2955675	9.607059	-1.5291119	0	0	2.3112445	0.0	0.37554407	0.009492231	1500000	11921.612663984299
50	25.829311	4.5742483	37.045174	10.094817	19.655	7.8826375	47.0	4.0	150.0	174728.0	0.11420130718954248	18.22971	1.1891932	20.47613	11.803324	12.460913	2.464083	22.155613	5.944564	-6.357829e-09	-0.006529028	-2.4414062e-08	0.0046594194	4.540048	-0.28348827	10.933437	-1.8916769	0	0	2.4347012	1.0	0.35877466	0.006931058	1530000	12162.189980506897
51	25.700054	4.67833	35.29458	10.281834	19.77	7.679004	48.0	3.0	150.0	178682.0	0.11453974358974359	18.29306	1.2109355	20.447826	11.892899	12.585199	2.768488	22.829473	5.250224	-7.1207684e-09	-0.0059842253	8.138021e-09	0.0012863465	4.286023	-0.38369513	10.809012	-1.6297503	0	0	2.7014527	1.0	0.35348046	0.0063162395	1560000	12382.66254067421
52	25.59292	4.3973303	35.569298	13.545498	19.37	6.660563	38.0	8.0	150.0	182556.0	0.11481509433962264	18.321997	1.1283417	20.63863	12.195225	12.781426	2.7360816	22.707207	5.77143	-1.9836426e-08	-0.008072441	3.153483e-08	-0.0005641591	3.7570782	-0.29305172	9.200739	-1.7390208	0	0	2.4407537	0.0	0.35495353	0.009690015	1590000	12602.510089159012
53	25.543633	4.618914	38.963593	10.813207	20.49	6.7727323	44.0	2.0	150.0	186654.0	0.11521851851851851	18.256653	1.1321284	21.025753	13.42909	12.7324	2.4036236	22.784542	6.529349	0.0	-0.0058453176	1.0172526e-08	0.0023696166	4.041227	-0.2773068	9.229352	-1.5073557	0	0	2.6107762	1.0	0.33507574	0.006334957	1620000	12813.603297472
